min,sec,tag
65,42,211118_kaistmix_left_low_075 [5]
65,58,211118_kaistmix_left_low_076 [5]
66,17,211118_kaistmix_left_low_077 [8]
66,48,211118_kaistmix_left_low_078 [5]
68,54,211118_kaistmix_left_low_079 [5]
69,0,211118_kaistmix_left_low_080 [5]
69,7,211118_kaistmix_left_low_081 [5]
70,28,211118_kaistmix_left_low_082 [5]
72,12,211118_kaistmix_left_low_083 [5]
73,24,211118_kaistmix_left_low_084 [5]
74,41,211118_kaistmix_left_low_085 [8]
75,44,211118_kaistmix_left_low_086 [5]
76,29,211118_kaistmix_left_low_087 [4]
76,40,211118_kaistmix_left_low_088 [8]
76,59,211118_kaistmix_left_low_089 [11]
77,13,211118_kaistmix_left_low_090 [5]
78,16,211118_kaistmix_left_low_091 [5]
78,21,211118_kaistmix_left_low_092 [9]
78,40,211118_kaistmix_left_low_093 [5]
80,3,211118_kaistmix_left_low_094 [5]
80,13,211118_kaistmix_left_low_095 [5]
81,9,211118_kaistmix_left_low_096 [8]
81,41,211118_kaistmix_left_low_097 [11]
82,29,211118_kaistmix_left_low_098 [5]
82,57,211118_kaistmix_left_low_099 [11]
83,38,211118_kaistmix_left_low_100 [12]
83,53,211118_kaistmix_left_low_101 [5]
84,1,211118_kaistmix_left_low_102 [5]
86,23,211118_kaistmix_left_low_103 [5]
87,19,211118_kaistmix_left_low_104 [5]
87,50,211118_kaistmix_left_low_105 [5]
89,11,211118_kaistmix_left_low_106 [8]
89,28,211118_kaistmix_left_low_107 [5]
89,35,211118_kaistmix_left_low_108 [5]
94,23,211118_kaistmix_left_low_109 [5]
94,36,211118_kaistmix_left_low_110 [5]
96,20,211118_kaistmix_left_low_111 [5]
98,3,211118_kaistmix_left_low_112 [5]
99,53,211118_kaistmix_left_low_113 [8]
100,2,211118_kaistmix_left_low_114 [5]
100,43,211118_kaistmix_left_low_115 [8]
102,0,211118_kaistmix_left_low_116 [5]
102,24,211118_kaistmix_left_low_117 [5]
104,59,211118_kaistmix_left_low_118 [5]
106,17,211118_kaistmix_left_low_119 [5]
106,46,211118_kaistmix_left_low_120 [5]
107,9,211118_kaistmix_left_low_121 [5]
108,8,211118_kaistmix_left_low_122 [8]
109,27,211118_kaistmix_left_low_123 [8]
110,25,211118_kaistmix_left_low_124 [5]
112,5,211118_kaistmix_left_low_125 [5]
112,21,211118_kaistmix_left_low_126 [12]
112,43,211118_kaistmix_left_low_127 [5]
112,51,211118_kaistmix_left_low_128 [5]
