min,sec,tag
53,39,211205_Sanghyunteam_left_low_024 [8]
55,49,211205_Sanghyunteam_left_low_025 [5]
64,19,211205_Sanghyunteam_left_low_026 [5]
67,5,211205_Sanghyunteam_left_low_027 [5]
67,35,211205_Sanghyunteam_left_low_028 [5]
69,21,211205_Sanghyunteam_left_low_029 [5]
70,7,211205_Sanghyunteam_left_low_030 [8]
70,17,211205_Sanghyunteam_left_low_031 [11]
70,32,211205_Sanghyunteam_left_low_032 [7]
70,46,211205_Sanghyunteam_left_low_033 [5]
71,40,211205_Sanghyunteam_left_low_034 [9]
73,26,211205_Sanghyunteam_left_low_035 [14]
74,17,211205_Sanghyunteam_left_low_036 [5]
74,54,211205_Sanghyunteam_left_low_037 [5]
76,1,211205_Sanghyunteam_left_low_038 [5]
76,11,211205_Sanghyunteam_left_low_039 [5]
76,20,211205_Sanghyunteam_left_low_040 [4]
77,39,211205_Sanghyunteam_left_low_041 [8]
78,57,211205_Sanghyunteam_left_low_042 [18]
80,3,211205_Sanghyunteam_left_low_043 [5]
80,14,211205_Sanghyunteam_left_low_044 [5]
80,49,211205_Sanghyunteam_left_low_045 [9]
81,21,211205_Sanghyunteam_left_low_046 [5]
81,28,211205_Sanghyunteam_left_low_047 [5]
82,1,211205_Sanghyunteam_left_low_048 [4]
82,13,211205_Sanghyunteam_left_low_049 [5]
83,54,211205_Sanghyunteam_left_low_050 [4]
87,7,211205_Sanghyunteam_left_low_051 [5]
87,36,211205_Sanghyunteam_left_low_052 [5]
87,43,211205_Sanghyunteam_left_low_053 [5]
88,32,211205_Sanghyunteam_left_low_054 [5]
91,8,211205_Sanghyunteam_left_low_055 [19]
91,34,211205_Sanghyunteam_left_low_056 [5]
91,53,211205_Sanghyunteam_left_low_057 [5]
96,55,211205_Sanghyunteam_left_low_058 [5]
97,45,211205_Sanghyunteam_left_low_059 [5]
100,50,211205_Sanghyunteam_left_low_060 [5]
102,37,211205_Sanghyunteam_left_low_061 [4]
107,4,211205_Sanghyunteam_left_low_062 [5]
110,46,211205_Sanghyunteam_left_low_063 [5]
111,30,211205_Sanghyunteam_left_low_064 [5]
112,28,211205_Sanghyunteam_left_low_065 [5]
112,41,211205_Sanghyunteam_left_low_066 [11]
113,14,211205_Sanghyunteam_left_low_067 [8]
113,46,211205_Sanghyunteam_left_low_068 [4]
114,37,211205_Sanghyunteam_left_low_069 [5]
