min,sec,tag
48,22,211202_Nonstop_left_low_048 [5]
48,34,211202_Nonstop_left_low_049 [11]
49,18,211202_Nonstop_left_low_050 [5]
49,23,211202_Nonstop_left_low_051 [5]
49,51,211202_Nonstop_left_low_052 [8]
53,20,211202_Nonstop_left_low_053 [8]
56,25,211202_Nonstop_left_low_054 [5]
56,44,211202_Nonstop_left_low_055 [5]
56,49,211202_Nonstop_left_low_056 [5]
58,34,211202_Nonstop_left_low_057 [5]
60,23,211202_Nonstop_left_low_058 [11]
62,16,211202_Nonstop_left_low_059 [5]
63,54,211202_Nonstop_left_low_060 [5]
65,5,211202_Nonstop_left_low_061 [5]
65,35,211202_Nonstop_left_low_062 [5]
72,40,211202_Nonstop_left_low_063 [5]
74,14,211202_Nonstop_left_low_064 [5]
74,19,211202_Nonstop_left_low_065 [17]
74,36,211202_Nonstop_left_low_066 [11]
75,24,211202_Nonstop_left_low_067 [5]
75,48,211202_Nonstop_left_low_068 [11]
76,3,211202_Nonstop_left_low_069 [5]
76,23,211202_Nonstop_left_low_070 [8]
77,6,211202_Nonstop_left_low_071 [5]
77,35,211202_Nonstop_left_low_072 [12]
78,22,211202_Nonstop_left_low_073 [4]
78,48,211202_Nonstop_left_low_074 [5]
79,37,211202_Nonstop_left_low_075 [4]
80,12,211202_Nonstop_left_low_076 [5]
80,40,211202_Nonstop_left_low_077 [5]
80,55,211202_Nonstop_left_low_078 [5]
82,44,211202_Nonstop_left_low_079 [8]
83,29,211202_Nonstop_left_low_080 [9]
85,23,211202_Nonstop_left_low_081 [8]
85,32,211202_Nonstop_left_low_082 [13]
87,31,211202_Nonstop_left_low_083 [5]
87,44,211202_Nonstop_left_low_084 [11]
88,35,211202_Nonstop_left_low_085 [5]
89,32,211202_Nonstop_left_low_086 [11]
90,25,211202_Nonstop_left_low_087 [12]
92,21,211202_Nonstop_left_low_088 [5]
92,43,211202_Nonstop_left_low_089 [5]
92,51,211202_Nonstop_left_low_090 [5]
93,32,211202_Nonstop_left_low_091 [5]
93,49,211202_Nonstop_left_low_092 [5]
94,4,211202_Nonstop_left_low_093 [15]
95,18,211202_Nonstop_left_low_094 [5]
96,3,211202_Nonstop_left_low_095 [5]
97,50,211202_Nonstop_left_low_096 [14]
98,9,211202_Nonstop_left_low_097 [5]
98,26,211202_Nonstop_left_low_098 [5]
98,40,211202_Nonstop_left_low_099 [15]
100,22,211202_Nonstop_left_low_100 [5]
101,3,211202_Nonstop_left_low_101 [38]
101,43,211202_Nonstop_left_low_102 [12]
102,3,211202_Nonstop_left_low_103 [8]
102,26,211202_Nonstop_left_low_104 [5]
102,36,211202_Nonstop_left_low_105 [5]
103,17,211202_Nonstop_left_low_106 [8]
104,12,211202_Nonstop_left_low_107 [5]
104,55,211202_Nonstop_left_low_108 [11]
